CALL,CALL,CALL,CALL,CALL,Strike,PUTS,PUTS,PUTS,PUTS,PUTS
OI,COI,volume,Percentage change,LTP,,LTP,Percentage change,volume,COI,OI
0.0,0.0,0.0,0.0,667.8,19200,22.4,-26.32,2200.0,-320.0,1920.0
0.0,0.0,0.0,0.0,629.3,19250,98.7,-8.74,0.0,0.0,0.0
0.0,0.0,0.0,-53.57,592.55,19300,212.65,0.0,0.0,0.0,40.0
0.0,0.0,0.0,0.0,555.4,19350,230.55,0.0,0.0,0.0,40.0
40.0,0.0,0.0,0.0,307.85,19400,139.3,2.24,0.0,0.0,0.0
160.0,80.0,160.0,-9.93,400.0,19450,155.2,0.0,0.0,0.0,0.0
1160.0,-240.0,2360.0,-3.64,320.0,19500,60.0,-14.35,55520.0,-6320.0,10640.0
360.0,-320.0,1120.0,-1.12,287.9,19550,190.85,12.53,0.0,0.0,0.0
4520.0,240.0,9440.0,-5.59,244.1,19600,92.55,-5.51,33920.0,3840.0,10600.0
600.0,120.0,2440.0,-3.59,215.0,19650,231.7,18.46,0.0,0.0,0.0
3560.0,1560.0,23200.0,-5.17,185.2,19700,127.2,-3.38,67960.0,5960.0,16880.0
0.0,0.0,0.0,-66.87,309.75,19750,154.2,5.54,10520.0,760.0,840.0
15920.0,15840.0,50960.0,-2.0,132.0,19800,174.5,-8.16,42920.0,4720.0,4760.0
4240.0,4240.0,18880.0,-87.15,111.3,19850,182.05,-28.19,4040.0,280.0,280.0
32600.0,24040.0,63320.0,0.05,92.0,19900,230.0,-14.8,26560.0,1080.0,1080.0
640.0,640.0,8520.0,-90.65,74.85,19950,386.35,0.0,0.0,0.0,0.0
21040.0,20280.0,60600.0,-11.25,58.0,20000,300.0,-25.0,1920.0,520.0,560.0
0.0,0.0,0.0,-75.47,181.0,20050,448.45,0.0,0.0,0.0,0.0
0.0,0.0,80.0,-85.87,100.0,20100,481.35,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-78.13,148.3,20150,515.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-79.41,133.75,20200,550.75,0.0,0.0,0.0,0.0
